year,month,rainfall_mm,temp_c,oblast,soil_moisture,ndvi,river_flow_m3s,irrigation_efficiency,rain_mean,rain_std,temp_mean,temp_std,soil_mean,soil_std,ndvi_mean,ndvi_std,flow_mean,flow_std,rainfall_anomaly,rolling_3mo_anomaly,rain_zscore,temp_zscore,soil_zscore,ndvi_zscore,flow_zscore,rain_zscore_roll3,rain_zscore_roll6,temp_zscore_roll3,soil_zscore_roll3,composite_z,stress_level,stress_name
2015,1,27.59,-16.28,Akmolinskaya,0.3954354838709678,0.294,100.0,0.556,22.82375,10.97384675034238,-16.39125,3.640763018536479,0.4036945564516129,0.022314314073986145,0.2875,0.05416377281647103,95.0,14.142135623730951,20.88,0.1,0.4343,0.0306,-0.3701,0.12,0.3536,0.4343,0.4343,0.0306,-0.3701,0.1,0,Normal
2015,2,13.16,-13.95,Akmolinskaya,0.3900818452380952,0.23,100.0,0.446,21.82125,12.144892444974554,-12.61125,2.1282886317414755,0.4133260788690476,0.02277882404790999,0.275875,0.06291363127335761,95.0,14.142135623730951,-39.69,-0.2184,-0.7132,-0.629,-1.0204,-0.7292,0.3536,-0.1394,-0.1394,-0.2992,-0.6952,-0.2184,0,Normal
2015,3,27.28,-7.4,Akmolinskaya,0.4054502688172043,0.348,100.0,0.594,26.7375,10.71279575354365,-6.65625,2.2938485284404835,0.45638289650537633,0.035274295352195055,0.2875,0.059327179991250936,95.0,14.142135623730951,2.03,-0.26,0.0506,-0.3242,-1.4439,1.0198,0.3536,-0.0761,-0.0761,-0.3075,-0.9448,-0.26,0,Normal
2015,4,38.4,4.18,Akmolinskaya,0.4678972222222222,0.329,166.9,0.552,30.8625,17.99316834642685,5.9425,1.7652013240097328,0.44062309027777774,0.022735604358432044,0.30162500000000003,0.07415223241028265,171.575,31.254382549834972,24.42,-0.037,0.4189,-0.9985,1.1996,0.3692,-0.1496,-0.0812,0.0477,-0.6506,-0.4216,-0.037,0,Normal
2015,5,69.75,14.75,Akmolinskaya,0.4154865591397849,0.602,167.3,0.44,30.3025,20.447750662184266,14.379999999999999,2.5615508695208185,0.3316532258064516,0.04524701720928295,0.613625,0.08810535495319553,152.5875,27.609234350640207,130.18,0.6392,1.9292,0.1444,1.8528,-0.1319,0.5329,0.7996,0.424,-0.3928,0.5362,0.6392,0,Normal
2015,6,41.7,21.2,Akmolinskaya,0.3530527777777777,0.67,181.5,0.562,38.7,17.18138527593162,19.16,1.7385790585582082,0.3389557291666666,0.030080109562841583,0.68525,0.1302182234339177,170.1,31.004423647510123,7.75,0.7513,0.1746,1.1734,0.4687,-0.1171,0.3677,0.8409,0.3824,0.1064,1.1737,0.7513,0,Normal
2015,7,41.54,20.99,Akmolinskaya,0.3380725806451613,0.628,188.0,0.434,43.555,13.801094159522279,21.46,1.016506622843999,0.3531105510752688,0.034855258952457044,0.6034999999999999,0.09457725489173993,165.075,29.033859543643175,-4.63,0.4583,-0.146,-0.4624,-0.4314,0.259,0.7896,0.6526,0.2857,0.2851,0.63,0.4583,0,Normal
2015,8,26.97,18.08,Akmolinskaya,0.3188346774193548,0.728,100.0,0.428,22.59125,12.643871962903045,19.58625,1.2925383387516434,0.32486273521505377,0.032391132585329774,0.625625,0.10266858957692111,95.0,14.142135623730951,19.38,0.0779,0.3463,-1.1653,-0.1861,0.9971,0.3536,0.125,0.4623,-0.1514,-0.0496,0.0779,0,Normal
2015,9,12.3,11.93,Akmolinskaya,0.3339416666666667,0.753,100.0,0.463,26.1375,14.947999149432293,11.97125,1.5604984322782434,0.3419067708333333,0.03023493260090614,0.666375,0.11246451821415877,95.0,14.142135623730951,-52.94,-0.0987,-0.9257,-0.0264,-0.2634,0.7702,0.3536,-0.2418,0.2996,-0.5514,-0.2936,-0.0987,0,Normal
2015,10,27.28,2.37,Akmolinskaya,0.3707083333333333,0.309,100.0,0.566,29.76,9.975203542499056,3.1550000000000002,1.9207513410865331,0.3626209677419355,0.03271935776631482,0.298625,0.07414259909121071,95.0,14.142135623730951,-8.33,-0.0515,-0.2486,-0.4087,0.2472,0.1399,0.3536,-0.276,0.1883,-0.5335,-0.0674,-0.0515,0,Normal
2015,11,30.9,-6.96,Akmolinskaya,0.3993263888888889,0.236,100.0,0.462,35.925,7.249384210301687,-7.811249999999999,2.620972761072826,0.4057137152777778,0.024983530448506687,0.283625,0.0675466769828729,95.0,14.142135623730951,-13.99,-0.3311,-0.6932,0.3248,-0.2557,-0.7051,0.3536,-0.6225,-0.2488,-0.0368,-0.0906,-0.3311,1,Watch
2015,12,44.64,-8.99,Akmolinskaya,0.4083736559139784,0.234,100.0,0.407,26.195,16.204941045425446,-14.1475,3.388719732962794,0.4054254032258064,0.02244383489731658,0.2755,0.08544505335510737,95.0,14.142135623730951,70.41,-0.0508,1.1382,1.522,0.1314,-0.4857,0.3536,0.0655,-0.0882,0.4794,0.041,-0.0508,0,Normal
2016,1,28.52,-17.7,Akmolinskaya,0.3964327956989247,0.324,100.0,0.474,22.82375,10.97384675034238,-16.39125,3.640763018536479,0.4036945564516129,0.022314314073986145,0.2875,0.05416377281647103,95.0,14.142135623730951,24.96,0.0166,0.5191,-0.3595,-0.3254,0.6739,0.3536,0.3214,0.0227,0.4958,-0.1499,0.0166,0,Normal
2016,2,12.18,-10.04,Akmolinskaya,0.3949626436781609,0.273,100.0,0.47,21.82125,12.144892444974554,-12.61125,2.1282886317414755,0.4133260788690476,0.02277882404790999,0.275875,0.06291363127335761,95.0,14.142135623730951,-44.18,-0.1142,-0.7939,1.2081,-0.8062,-0.0457,0.3536,0.2878,-0.1673,0.7902,-0.3334,-0.1142,0,Normal
2016,3,32.86,-2.44,Akmolinskaya,0.4552997311827957,0.202,100.0,0.497,26.7375,10.71279575354365,-6.65625,2.2938485284404835,0.45638289650537633,0.035274295352195055,0.2875,0.059327179991250936,95.0,14.142135623730951,22.9,-0.2459,0.5715,1.8381,-0.0307,-1.4412,0.3536,0.0989,0.0822,0.8956,-0.3874,-0.2459,0,Normal
2016,4,32.7,8.11,Akmolinskaya,0.4372472222222222,0.388,196.3,0.465,30.8625,17.99316834642685,5.9425,1.7652013240097328,0.44062309027777774,0.022735604358432044,0.30162500000000003,0.07415223241028265,171.575,31.254382549834972,5.95,-0.4035,0.1021,1.2279,-0.1485,1.1648,0.7911,-0.0401,0.1406,1.4247,-0.3285,-0.4035,1,Watch
